restaurant id,category id,item id,serving size (oz),calories,calories from fat,total fat (g),total fat (% daily value),saturated fat (g),saturated fat (% daily value),trans fat (g),cholesterol (mg),cholesterol (% daily value),sodium (mg),sodium (% daily value),carbohydrates (g),carbohydrates (% daily value),dietary fiber (g),dietary fiber (% daily value),sugars (g),protein (g),vitamin a (% daily value),vitamin c (% daily value),calcium (% daily value),iron (% daily value)
2000,114,366.0,0.493836,50,,4.0,,2.0,,0.0,10.0,,125.0,,0,,0,,0.0,4.0,4.0,0.0,8.0,0.0
2000,114,367.0,0.493836,40,,3.0,,2.0,,0.0,10.0,,100.0,,0,,0,,0.0,3.0,4.0,0.0,6.0,0.0
2000,114,368.0,0.493836,50,,4.5,,2.5,,0.0,15.0,,30.0,,0,,0,,0.0,4.0,4.0,0.0,10.0,0.0
2000,115,369.0,0.52911,70,,6.0,,2.0,,0.0,15.0,,250.0,,1,,0,,1.0,5.0,0.0,0.0,0.0,0.0
2000,115,370.0,1.23459,60,,5.0,,0.5,,0.0,0.0,,95.0,,4,,2,,0.0,1.0,0.0,2.0,0.0,0.0
2000,115,371.0,0.634932,80,,7.0,,2.5,,0.0,20.0,,290.0,,1,,0,,0.0,3.0,0.0,4.0,0.0,0.0
2000,116,372.0,0.493836,60,,7.0,,1.0,,0.0,5.0,,110.0,,1,,0,,1.0,0.0,0.0,0.0,0.0,0.0
2000,116,373.0,0.493836,20,,0.0,,0.0,,0.0,0.0,,80.0,,4,,0,,4.0,0.0,0.0,0.0,0.0,0.0
2000,116,374.0,0.52911,50,,5.0,,1.0,,0.0,5.0,,100.0,,1,,0,,0.0,0.0,0.0,0.0,0.0,0.0
2000,116,375.0,0.17637,45,,5.0,,1.0,,0.0,0.0,,0.0,,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0
2000,116,376.0,0.493836,70,,8.0,,1.5,,0.0,5.0,,140.0,,1,,0,,1.0,0.0,0.0,0.0,0.0,0.0
2000,116,377.0,0.141096,0,,0.0,,0.0,,0.0,0.0,,0.0,,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0
2000,116,378.0,0.493836,100,,11.0,,2.0,,0.0,10.0,,65.0,,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0
2000,116,379.0,0.493836,80,,9.0,,1.5,,0.0,5.0,,130.0,,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0
2000,116,380.0,0.493836,15,,1.0,,0.0,,0.0,0.0,,260.0,,1,,0,,0.0,0.0,0.0,0.0,0.0,25.0
2000,116,381.0,0.493836,35,,3.5,,0.5,,0.0,0.0,,110.0,,1,,0,,1.0,0.0,0.0,0.0,0.0,0.0
2000,116,382.0,0.634932,30,,0.0,,0.0,,0.0,0.0,,75.0,,8,,0,,7.0,0.0,0.0,0.0,0.0,0.0
2000,116,383.0,0.493836,10,,0.5,,0.0,,0.0,0.0,,170.0,,1,,0,,0.0,0.0,0.0,0.0,0.0,0.0
2000,117,384.0,0.141096,0,,0.0,,0.0,,0.0,0.0,,65.0,,0,,0,,0.0,0.0,0.0,6.0,0.0,0.0
2000,117,385.0,0.105822,0,,0.0,,0.0,,0.0,0.0,,25.0,,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0
2000,117,386.0,0.493836,0,,0.0,,0.0,,0.0,0.0,,0.0,,1,,0,,0.0,0.0,0.0,0.0,0.0,0.0
2000,117,387.0,0.246918,0,,0.0,,0.0,,0.0,0.0,,0.0,,0,,0,,0.0,0.0,0.0,6.0,0.0,0.0
2000,117,388.0,0.141096,0,,0.0,,0.0,,0.0,0.0,,70.0,,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0
2000,117,389.0,0.740754,0,,0.0,,0.0,,0.0,0.0,,0.0,,0,,0,,0.0,0.0,2.0,0.0,0.0,0.0
2000,117,390.0,0.317466,0,,0.0,,0.0,,0.0,0.0,,115.0,,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0
2000,117,391.0,0.246918,0,,0.0,,0.0,,0.0,0.0,,0.0,,1,,0,,0.0,0.0,0.0,0.0,0.0,0.0
2000,117,392.0,0.246918,0,,0.0,,0.0,,0.0,0.0,,5.0,,0,,0,,0.0,0.0,15.0,2.0,0.0,0.0
2000,117,393.0,1.23459,5,,0.0,,0.0,,0.0,0.0,,0.0,,1,,0,,1.0,0.0,10.0,4.0,0.0,0.0
2000,118,394.0,0.52911,70,,6.0,,2.0,,0.0,15.0,,250.0,,1,,0,,1.0,5.0,0.0,6.0,0.0,0.0
2000,119,395.0,0.035274,5,,0.0,,0.0,,0.0,0.0,,25.0,,0,,0,,0.0,1.0,0.0,0.0,0.0,0.0
3000,120,396.0,,3,,0.1,,0.0,,0.0,0.0,,0.0,,5,,0,,0.0,0.3,0.0,0.0,0.0,0.0
3000,120,397.0,,4,,0.1,,0.0,,0.0,0.0,,0.0,,10,,0,,0.0,0.5,0.0,0.0,0.0,0.0
3000,120,398.0,,5,,0.1,,0.0,,0.0,0.0,,0.0,,10,,0,,0.0,1.0,0.0,0.0,0.0,0.0
3000,120,399.0,,5,,0.1,,0.0,,0.0,0.0,,0.0,,10,,0,,0.0,1.0,0.0,0.0,2.0,0.0
3000,121,400.0,,70,,0.1,,0.0,,0.1,10.0,,5.0,,75,,0,,9.0,6.0,10.0,0.0,20.0,0.0
3000,121,401.0,,100,,3.5,,0.1,,2.0,10.0,,15.0,,85,,0,,9.0,6.0,10.0,0.0,20.0,0.0
3000,121,402.0,,70,,2.5,,0.0,,0.4,6.0,,0.0,,65,,1,,4.0,5.0,6.0,0.0,20.0,8.0
3000,121,403.0,,100,,0.2,,0.0,,0.2,15.0,,5.0,,120,,0,,14.0,10.0,15.0,0.0,30.0,0.0
3000,121,404.0,,150,,6,,0.2,,3.0,15.0,,25.0,,135,,0,,14.0,10.0,15.0,0.0,30.0,0.0
3000,121,405.0,,110,,4.5,,0.0,,0.5,10.0,,0.0,,105,,1,,6.0,8.0,10.0,0.0,30.0,15.0
3000,121,406.0,,130,,0.3,,0.0,,0.2,19.0,,5.0,,150,,0,,18.0,13.0,20.0,0.0,40.0,0.0
3000,121,407.0,,190,,7,,0.2,,3.5,19.0,,30.0,,170,,0,,17.0,12.0,20.0,2.0,40.0,0.0
3000,121,408.0,,150,,5,,0.0,,0.5,13.0,,0.0,,130,,1,,8.0,10.0,15.0,0.0,40.0,15.0
3000,121,409.0,,170,,0.4,,0.0,,0.3,25.0,,10.0,,190,,0,,23.0,16.0,30.0,0.0,50.0,0.0
3000,121,410.0,,240,,9,,0.3,,4.5,24.0,,35.0,,220,,0,,22.0,16.0,25.0,2.0,50.0,0.0
3000,121,411.0,,190,,7,,0.0,,1.0,16.0,,0.0,,170,,2,,11.0,13.0,20.0,0.0,50.0,25.0
3000,121,412.0,,110,,1.5,,0.0,,1.0,21.0,,5.0,,60,,1,,17.0,7.0,8.0,0.0,15.0,10.0
3000,121,413.0,,130,,4,,0.1,,2.0,21.0,,10.0,,70,,1,,17.0,6.0,8.0,0.0,15.0,10.0
3000,121,414.0,,110,,3.5,,0.0,,1.0,19.0,,0.0,,55,,2,,13.0,6.0,6.0,0.0,15.0,20.0
3000,121,415.0,,170,,2,,0.0,,1.0,32.0,,5.0,,100,,1,,27.0,10.0,15.0,0.0,25.0,20.0
3000,121,416.0,,200,,6,,0.1,,3.5,32.0,,20.0,,115,,1,,26.0,10.0,15.0,0.0,25.0,20.0
3000,121,417.0,,180,,5,,0.0,,1.5,28.0,,0.0,,85,,2,,20.0,9.0,10.0,0.0,25.0,30.0
3000,121,418.0,,220,,2.5,,0.0,,1.5,43.0,,5.0,,125,,2,,34.0,13.0,20.0,0.0,35.0,25.0
3000,121,419.0,,260,,8,,0.2,,4.5,42.0,,25.0,,140,,2,,34.0,13.0,15.0,2.0,35.0,25.0
3000,121,420.0,,230,,7,,0.0,,2.0,37.0,,0.0,,105,,3,,26.0,11.0,10.0,0.0,35.0,40.0
3000,121,421.0,,280,,3,,0.0,,2.0,54.0,,10.0,,160,,2,,44.0,17.0,25.0,0.0,45.0,30.0
3000,121,422.0,,340,,11,,0.2,,6.0,53.0,,30.0,,180,,2,,43.0,17.0,20.0,2.0,45.0,30.0
3000,121,423.0,,290,,9,,0.0,,2.5,47.0,,0.0,,140,,4,,33.0,14.0,15.0,0.0,45.0,50.0
3000,121,424.0,,100,,0.1,,0.0,,0.1,19.0,,5.0,,70,,0,,18.0,6.0,10.0,0.0,20.0,0.0
3000,121,425.0,,130,,3.5,,0.1,,1.5,18.0,,15.0,,80,,0,,17.0,6.0,10.0,0.0,20.0,0.0
3000,121,426.0,,110,,2.5,,0.0,,0.3,16.0,,0.0,,60,,1,,13.0,5.0,6.0,0.0,20.0,8.0
3000,121,427.0,,150,,0.2,,0.0,,0.1,28.0,,5.0,,110,,0,,27.0,9.0,15.0,0.0,30.0,0.0
3000,121,428.0,,200,,5,,0.2,,2.5,28.0,,20.0,,125,,0,,27.0,9.0,15.0,0.0,30.0,0.0
3000,121,429.0,,160,,4,,0.0,,0.5,23.0,,0.0,,95,,1,,20.0,7.0,10.0,0.0,30.0,15.0
3000,121,430.0,,200,,0.3,,0.0,,0.2,37.0,,5.0,,140,,0,,35.0,12.0,20.0,0.0,35.0,0.0
3000,121,431.0,,250,,6,,0.2,,3.5,37.0,,25.0,,150,,0,,35.0,12.0,20.0,2.0,35.0,0.0
3000,121,432.0,,210,,5,,0.0,,0.5,31.0,,0.0,,120,,1,,26.0,9.0,10.0,0.0,35.0,15.0
3000,121,433.0,,250,,0.3,,0.0,,0.2,47.0,,10.0,,180,,0,,45.0,15.0,25.0,0.0,50.0,0.0
3000,121,434.0,,320,,9,,0.3,,4.5,46.0,,35.0,,200,,0,,44.0,15.0,25.0,2.0,45.0,0.0
3000,121,435.0,,270,,7,,0.0,,1.0,39.0,,0.0,,160,,2,,33.0,12.0,15.0,0.0,45.0,20.0
3000,121,436.0,,5,,0,,0.0,,0.0,1.0,,0.0,,5,,0,,0.0,0.4,0.0,0.0,0.0,0.0
3000,121,437.0,,10,,0,,0.0,,0.0,2.0,,0.0,,10,,0,,0.0,1.0,0.0,0.0,2.0,0.0
3000,121,438.0,,15,,0,,0.0,,0.0,3.0,,0.0,,15,,0,,0.0,1.0,0.0,0.0,2.0,0.0
3000,121,439.0,,25,,0,,0.0,,0.0,4.0,,0.0,,15,,0,,0.0,1.0,0.0,0.0,2.0,0.0
3000,121,440.0,,50,,0.1,,0.0,,0.1,8.0,,5.0,,60,,0,,7.0,5.0,8.0,0.0,15.0,0.0
3000,121,441.0,,80,,3,,0.1,,1.5,8.0,,10.0,,70,,0,,7.0,5.0,8.0,0.0,15.0,0.0
3000,121,442.0,,50,,1.5,,0.0,,0.2,4.0,,0.0,,40,,0,,3.0,3.0,4.0,0.0,10.0,6.0
3000,121,443.0,,60,,0.1,,0.0,,0.1,9.0,,5.0,,70,,0,,8.0,6.0,10.0,0.0,20.0,0.0
3000,121,444.0,,90,,3.5,,0.1,,1.5,9.0,,15.0,,80,,0,,8.0,6.0,10.0,0.0,20.0,0.0
3000,121,445.0,,70,,3,,0.0,,0.4,7.0,,0.0,,65,,1,,4.0,5.0,6.0,0.0,20.0,8.0
3000,121,446.0,,80,,0.2,,0.0,,0.1,12.0,,5.0,,90,,0,,10.0,8.0,15.0,0.0,25.0,0.0
3000,121,447.0,,120,,4,,0.1,,2.0,12.0,,15.0,,100,,0,,10.0,8.0,10.0,0.0,25.0,0.0
3000,121,448.0,,100,,3.5,,0.0,,0.4,9.0,,0.0,,80,,1,,5.0,7.0,8.0,0.0,25.0,10.0
3000,121,449.0,,110,,0.2,,0.0,,0.2,16.0,,5.0,,120,,0,,14.0,10.0,20.0,0.0,30.0,0.0
3000,121,450.0,,150,,6,,0.2,,3.0,16.0,,25.0,,135,,0,,14.0,10.0,15.0,0.0,30.0,0.0
3000,121,451.0,,120,,4.5,,0.0,,0.5,11.0,,0.0,,110,,1,,7.0,9.0,10.0,0.0,35.0,15.0
3000,121,452.0,,5,,0,,0.0,,0.0,1.0,,0.0,,0,,0,,0.0,0.4,0.0,0.0,0.0,0.0
3000,121,453.0,,10,,0,,0.0,,0.0,2.0,,0.0,,1,,0,,0.0,1.0,0.0,0.0,0.0,0.0
3000,121,454.0,,60,,0.1,,0.0,,0.1,9.0,,5.0,,80,,0,,8.0,6.0,10.0,0.0,20.0,0.0
3000,121,455.0,,100,,0.2,,0.0,,0.1,14.0,,5.0,,125,,0,,13.0,9.0,15.0,0.0,30.0,0.0
3000,121,456.0,,120,,0.3,,0.0,,0.2,18.0,,5.0,,160,,0,,16.0,12.0,20.0,0.0,35.0,0.0
3000,121,457.0,,160,,0.3,,0.0,,0.2,24.0,,10.0,,200,,0,,21.0,15.0,25.0,0.0,50.0,0.0
3000,122,458.0,,100,,1,,0.0,,0.5,17.0,,5.0,,70,,0,,15.0,6.0,10.0,0.0,15.0,0.0
3000,122,459.0,,120,,4,,0.1,,2.0,16.0,,15.0,,80,,0,,15.0,5.0,10.0,0.0,15.0,0.0
3000,122,460.0,,100,,3,,0.0,,1.0,14.0,,0.0,,60,,1,,11.0,4.0,6.0,0.0,15.0,8.0
3000,122,461.0,,140,,1,,0.0,,0.5,25.0,,5.0,,105,,0,,24.0,8.0,15.0,0.0,25.0,0.0
3000,122,462.0,,180,,5,,0.1,,3.0,25.0,,20.0,,115,,0,,23.0,8.0,15.0,0.0,25.0,0.0
3000,122,463.0,,150,,4.5,,0.0,,1.0,21.0,,0.0,,90,,1,,17.0,7.0,10.0,0.0,25.0,10.0
3000,122,464.0,,190,,1,,0.0,,1.0,35.0,,10.0,,130,,0,,32.0,11.0,20.0,0.0,35.0,0.0
3000,122,465.0,,240,,7,,0.2,,3.5,34.0,,25.0,,150,,0,,32.0,10.0,15.0,2.0,30.0,0.0
3000,122,466.0,,200,,5,,0.0,,1.0,29.0,,5.0,,115,,1,,24.0,9.0,10.0,0.0,35.0,15.0
3000,122,467.0,,240,,1,,0.0,,1.0,43.0,,10.0,,170,,0,,41.0,13.0,25.0,0.0,40.0,0.0
3000,122,468.0,,300,,8,,0.2,,4.5,43.0,,35.0,,180,,0,,40.0,13.0,20.0,2.0,40.0,0.0
