item,id
Quarter Pounder Deluxe,47
Double Quarter Pounder with Cheese,48
Hamburger,49
Cheeseburger,50
Double Cheeseburger,51
Bacon Clubhouse Burger,52
McDouble,53
Bacon McDouble,54
Daily Double,55
Jalapeño Double,56
McRib,57
Premium Crispy Chicken Classic Sandwich,58
Premium Grilled Chicken Classic Sandwich,59
Premium Crispy Chicken Club Sandwich,60
Premium Grilled Chicken Club Sandwich,61
Premium Crispy Chicken Ranch BLT Sandwich,62
Premium Grilled Chicken Ranch BLT Sandwich,63
Bacon Clubhouse Crispy Chicken Sandwich,64
Bacon Clubhouse Grilled Chicken Sandwich,65
Southern Style Crispy Chicken Sandwich,66
McChicken,67
Bacon Cheddar McChicken,68
Bacon Buffalo Ranch McChicken,69
Buffalo Ranch McChicken,70
Premium McWrap Chicken & Bacon (Crispy Chicken),71
Premium McWrap Chicken & Bacon (Grilled Chicken),72
Premium McWrap Chicken & Ranch (Crispy Chicken),73
Premium McWrap Chicken & Ranch (Grilled Chicken),74
Premium McWrap Southwest Chicken (Crispy Chicken),75
Premium McWrap Southwest Chicken (Grilled Chicken),76
Premium McWrap Chicken Sweet Chili (Crispy Chicken),77
Premium McWrap Chicken Sweet Chili (Grilled Chicken),78
Chicken McNuggets (4 piece),79
Chicken McNuggets (6 piece),80
Chicken McNuggets (10 piece),81
Chicken McNuggets (20 piece),82
Chicken McNuggets (40 piece),83
Filet-O-Fish,84
Premium Bacon Ranch Salad (without Chicken),85
Premium Bacon Ranch Salad with Crispy Chicken,86
Premium Bacon Ranch Salad with Grilled Chicken,87
Premium Southwest Salad (without Chicken),88
Premium Southwest Salad with Crispy Chicken,89
Premium Southwest Salad with Grilled Chicken,90
Chipotle BBQ Snack Wrap (Crispy Chicken),91
Chipotle BBQ Snack Wrap (Grilled Chicken),92
Honey Mustard Snack Wrap (Crispy Chicken),93
Honey Mustard Snack Wrap (Grilled Chicken),94
Ranch Snack Wrap (Crispy Chicken),95
Ranch Snack Wrap (Grilled Chicken),96
Small French Fries,97
Medium French Fries,98
Large French Fries,99
Kids French Fries,100
Side Salad,101
Apple Slices,102
Fruit 'n Yogurt Parfait,103
Baked Apple Pie,104
Chocolate Chip Cookie,105
Oatmeal Raisin Cookie,106
Kids Ice Cream Cone,107
Hot Fudge Sundae,108
Hot Caramel Sundae,109
Strawberry Sundae,110
Coca-Cola Classic (Small),111
Coca-Cola Classic (Medium),112
Coca-Cola Classic (Large),113
Coca-Cola Classic (Child),114
Diet Coke (Small),115
Diet Coke (Medium),116
Diet Coke (Large),117
Diet Coke (Child),118
Dr Pepper (Small),119
Dr Pepper (Medium),120
Dr Pepper (Large),121
Dr Pepper (Child),122
Diet Dr Pepper (Small),123
Diet Dr Pepper (Medium),124
Diet Dr Pepper (Large),125
Diet Dr Pepper (Child),126
Sprite (Small),127
Sprite (Medium),128
Sprite (Large),129
Sprite (Child),130
1% Low Fat Milk Jug,131
Fat Free Chocolate Milk Jug,132
Minute Maid 100% Apple Juice Box,133
Minute Maid Orange Juice (Small),134
Minute Maid Orange Juice (Medium),135
Minute Maid Orange Juice (Large),136
Dasani Water Bottle,137
Iced Tea (Small),138
Iced Tea (Medium),139
Iced Tea (Large),140
Iced Tea (Child),141
Sweet Tea (Small),142
Sweet Tea (Medium),143
Sweet Tea (Large),144
Sweet Tea (Child),145
Coffee (Small),146
Coffee (Medium),147
Coffee (Large),148
Latte (Small),149
Latte (Medium),150
Latte (Large),151
Caramel Latte (Small),152
Caramel Latte (Medium),153
Caramel Latte (Large),154
Hazelnut Latte (Small),155
Hazelnut Latte (Medium),156
Hazelnut Latte (Large),157
French Vanilla Latte (Small),158
French Vanilla Latte (Medium),159
French Vanilla Latte (Large),160
Latte with Sugar Free French Vanilla Syrup (Small),161
Latte with Sugar Free French Vanilla Syrup (Medium),162
Latte with Sugar Free French Vanilla Syrup (Large),163
Nonfat Latte (Small),164
Nonfat Latte (Medium),165
Nonfat Latte (Large),166
Nonfat Caramel Latte (Small),167
Nonfat Caramel Latte (Medium),168
Nonfat Caramel Latte (Large),169
Nonfat Hazelnut Latte (Small),170
Nonfat Hazelnut Latte (Medium),171
Nonfat Hazelnut Latte (Large),172
Nonfat French Vanilla Latte (Small),173
Nonfat French Vanilla Latte (Medium),174
Nonfat French Vanilla Latte (Large),175
Nonfat Latte with Sugar Free French Vanilla Syrup (Small),176
Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),177
Nonfat Latte with Sugar Free French Vanilla Syrup (Large),178
Mocha (Small),179
Mocha (Medium),180
Mocha (Large),181
Mocha with Nonfat Milk (Small),182
Mocha with Nonfat Milk (Medium),183
Mocha with Nonfat Milk (Large),184
Caramel Mocha (Small),185
Caramel Mocha (Medium),186
Caramel Mocha (Large),187
Nonfat Caramel Mocha (Small),188
Nonfat Caramel Mocha (Medium),189
Nonfat Caramel Mocha (Large),190
Hot Chocolate (Small),191
Hot Chocolate (Medium),192
Hot Chocolate (Large),193
Hot Chocolate with Nonfat Milk (Small),194
Hot Chocolate with Nonfat Milk (Medium),195
Hot Chocolate with Nonfat Milk (Large),196
Regular Iced Coffee (Small),197
Regular Iced Coffee (Medium),198
Regular Iced Coffee (Large),199
Caramel Iced Coffee (Small),200
Caramel Iced Coffee (Medium),201
Caramel Iced Coffee (Large),202
Hazelnut Iced Coffee (Small),203
Hazelnut Iced Coffee (Medium),204
Hazelnut Iced Coffee (Large),205
French Vanilla Iced Coffee (Small),206
French Vanilla Iced Coffee (Medium),207
French Vanilla Iced Coffee (Large),208
Iced Coffee with Sugar Free French Vanilla Syrup (Small),209
Iced Coffee with Sugar Free French Vanilla Syrup (Medium),210
Iced Coffee with Sugar Free French Vanilla Syrup (Large),211
Iced Mocha (Small),212
Iced Mocha (Medium),213
Iced Mocha (Large),214
Iced Mocha with Nonfat Milk (Small),215
Iced Mocha with Nonfat Milk (Medium),216
Iced Mocha with Nonfat Milk (Large),217
Iced Caramel Mocha (Small),218
Iced Caramel Mocha (Medium),219
Iced Caramel Mocha (Large),220
Iced Nonfat Caramel Mocha (Small),221
Iced Nonfat Caramel Mocha (Medium),222
Iced Nonfat Caramel Mocha (Large),223
Frappé Mocha (Small),224
Frappé Mocha (Medium),225
Frappé Mocha (Large),226
Frappé Caramel (Small),227
Frappé Caramel (Medium),228
Frappé Caramel (Large),229
Frappé Chocolate Chip (Small),230
Frappé Chocolate Chip (Medium),231
Frappé Chocolate Chip (Large),232
Blueberry Pomegranate Smoothie (Small),233
Blueberry Pomegranate Smoothie (Medium),234
Blueberry Pomegranate Smoothie (Large),235
Strawberry Banana Smoothie (Small),236
Strawberry Banana Smoothie (Medium),237
Strawberry Banana Smoothie (Large),238
Mango Pineapple Smoothie (Small),239
Mango Pineapple Smoothie (Medium),240
Mango Pineapple Smoothie (Large),241
Vanilla Shake (Small),242
Vanilla Shake (Medium),243
Vanilla Shake (Large),244
Strawberry Shake (Small),245
Strawberry Shake (Medium),246
Strawberry Shake (Large),247
Chocolate Shake (Small),248
Chocolate Shake (Medium),249
Chocolate Shake (Large),250
Shamrock Shake (Medium),251
Shamrock Shake (Large),252
McFlurry with M&M’s Candies (Small),253
McFlurry with M&M’s Candies (Medium),254
McFlurry with M&M’s Candies (Snack),255
McFlurry with Oreo Cookies (Small),256
McFlurry with Oreo Cookies (Medium),257
McFlurry with Oreo Cookies (Snack),258
McFlurry with Reese's Peanut Butter Cups (Medium),259
McFlurry with Reese's Peanut Butter Cups (Snack),260
BBQ Rib-Sandwich,261
Black Forest Ham-Sandwich,262
Chicken & Bacon Ranch Melt-Sandwich,263
Chicken Mango Curry-Sandwich,264
Chicken Tikka-Sandwich,265
Chicken Vindaloo-Sandwich,266
Classic Tuna-Sandwich,267
Cold Cut Combo-Sandwich,268
Genoa Salami-Sandwich,269
Italian B.M.T.®-Sandwich,270
Meatball Marinara-Sandwich,271
Ham & Jack Slider-Sandwich,272
Italian Spice Slider-Sandwich,273
Little Cheesesteak Slider-Sandwich,274
Little Turkey Slider-Sandwich,275
Southwest Chicken Club-Sandwich,276
Steak Club-Sandwich,277
Ultimate Steak-Sandwich,278
Oven Roasted Chicken-Sandwich,279
Paneer Tikka-Sandwich,280
Roast Beef-Sandwich,281
Rotisserie-Style Chicken-Sandwich,282
